sitename,electrificationpolename,kilometer,kilolon,kilolat,
西焼津～藤枝,副３１,198757,138.26782,34.854236,198755
西焼津～藤枝,本３１,198757,138.26782,34.854236,198755
西焼津～藤枝,支特１－２,198783,138.26751,34.85414,198785
西焼津～藤枝,特１,198783,138.26751,34.85414,198785
西焼津～藤枝,支特１－３,198788,138.26746,34.854125,198790
西焼津～藤枝,特１－１,198788,138.26746,34.854125,198790
西焼津～藤枝,副３２,198806,138.26731,34.854077,198805
西焼津～藤枝,本３２,198806,138.26731,34.854077,198805
西焼津～藤枝,特３,198808,138.26726,34.854061,198810
西焼津～藤枝,特４,198808,138.26726,34.854061,198810
西焼津～藤枝,特５,198808,138.26726,34.854061,198810
西焼津～藤枝,副３３,198858,138.26675,34.853899,198860
西焼津～藤枝,本３３,198858,138.26675,34.853899,198860
西焼津～藤枝,副３４,198908,138.266235,34.853737,198910
西焼津～藤枝,本３４,198908,138.266235,34.853737,198910
西焼津～藤枝,副３５,198957,138.26577,34.853591,198955
西焼津～藤枝,本３５,198957,138.26577,34.853591,198955
西焼津～藤枝,副３６,199005,138.265258,34.853426,199005
西焼津～藤枝,本３６,199005,138.265258,34.853426,199005
西焼津～藤枝,副３７,199046,138.264838,34.853298,199045
西焼津～藤枝,本３７,199046,138.264838,34.853298,199045
西焼津～藤枝,副３８,199086,138.264418,34.853166,199085
西焼津～藤枝,本３８,199086,138.264418,34.853166,199085
西焼津～藤枝,注５,199100,138.26426,34.853116,199100
西焼津～藤枝,注６,199100,138.26426,34.853116,199100
西焼津～藤枝,注５－１,199117,138.26411,34.853067,199115
西焼津～藤枝,注６－１,199117,138.26411,34.853067,199115
西焼津～藤枝,副３９,199126,138.26401,34.853035,199125
西焼津～藤枝,本３９,199126,138.26401,34.853035,199125
西焼津～藤枝,副４０,199166,138.26361,34.852907,199165
西焼津～藤枝,本４０,199166,138.26361,34.852907,199165
西焼津～藤枝,副４１,199207,138.26321,34.852787,199205
西焼津～藤枝,本４１,199207,138.26321,34.852787,199205
西焼津～藤枝,副４２,199255,138.262703,34.852625,199255
西焼津～藤枝,本４２,199255,138.262703,34.852625,199255
西焼津～藤枝,副４３,199305,138.26219,34.852464,199305
西焼津～藤枝,本４３,199305,138.26219,34.852464,199305
西焼津～藤枝,副４４,199355,138.26168,34.852303,199355
西焼津～藤枝,本４４,199355,138.26168,34.852303,199355
西焼津～藤枝,副４５,199405,138.261168,34.852142,199405
西焼津～藤枝,本４５,199405,138.261168,34.852142,199405
西焼津～藤枝,副４６,199456,138.260653,34.851981,199455
西焼津～藤枝,本４６,199456,138.260653,34.851981,199455
西焼津～藤枝,副４７,199505,138.26014,34.85182,199505
西焼津～藤枝,本４７,199505,138.26014,34.85182,199505
西焼津～藤枝,副４８,199554,138.25963,34.851658,199555
西焼津～藤枝,本４８,199554,138.25963,34.851658,199555
西焼津～藤枝,注８,199574,138.259423,34.851593,199575
西焼津～藤枝,副４９,199606,138.259118,34.851495,199605
西焼津～藤枝,本４９,199606,138.259118,34.851495,199605
藤枝駅,副１,199655,138.25861,34.85133,199655
藤枝駅,本１,199655,138.25861,34.85133,199655
藤枝駅,副２,199705,138.2581,34.85116,199705
藤枝駅,本２,199705,138.2581,34.85116,199705
藤枝駅,副３,199755,138.25759,34.850987,199755
藤枝駅,本３,199755,138.25759,34.850987,199755
藤枝駅,副４,199805,138.25708,34.85082,199805
藤枝駅,本４,199805,138.25708,34.85082,199805
藤枝駅,止１,199818,138.25693,34.85077,199820
藤枝駅,副５,199856,138.256573,34.850659,199855
藤枝駅,本５,199856,138.256573,34.850659,199855
藤枝駅,止２,199886,138.25627,34.850556,199885
藤枝駅,副６,199906,138.256068,34.850499,199905
藤枝駅,本６,199906,138.256068,34.850499,199905
藤枝駅,副７,199947,138.255658,34.850365,199945
藤枝駅,本７,199947,138.255658,34.850365,199945
藤枝駅,副８,199996,138.255143,34.850191,199995
藤枝駅,本８,199996,138.255143,34.850191,199995
藤枝駅,副９,200034,138.25474,34.850049,200035
藤枝駅,本９,200034,138.25474,34.850049,200035
藤枝駅,曲１,200056,138.25454,34.849981,200055
藤枝駅,副１０－１,200076,138.25434,34.849912,200075
藤枝駅,副１０－２,200076,138.25434,34.849912,200075
藤枝駅,本１０,200076,138.25434,34.849912,200075
藤枝駅,特１,200080,138.25429,34.849894,200080
藤枝駅,副１１－１,200116,138.25394,34.849771,200115
藤枝駅,副１１－２,200116,138.25394,34.849771,200115
藤枝駅,本１１,200116,138.25394,34.849771,200115
藤枝駅,副１２－２,200157,138.25353,34.849635,200155
藤枝駅,本１２,200157,138.25353,34.849635,200155
藤枝駅,副１３,200206,138.25302,34.849468,200205
藤枝駅,本１３,200206,138.25302,34.849468,200205
藤枝駅,本１４,200241,138.25267,34.849355,200240
藤枝駅,副１５,200301,138.25206,34.849163,200300
藤枝駅,本１５,200301,138.25206,34.849163,200300
藤枝駅,副１６－１,200331,138.25175,34.849066,200330
藤枝駅,副１６－２,200331,138.25175,34.849066,200330
藤枝駅,本１６,200331,138.25175,34.849066,200330
藤枝駅,副１７－１,200372,138.25134,34.84894,200370
藤枝駅,本１７,200372,138.25134,34.84894,200370
藤枝駅,副１８－１,200414,138.250873,34.848812,200415
