kilometer,latitude,longitude
108470,35.101609,139.03728
108475,35.101615,139.037225
108480,35.101621,139.03717
108485,35.101627,139.037115
108490,35.101633,139.03706
108495,35.101639,139.037005
108500,35.101645,139.03695
108505,35.101651,139.036895
108510,35.101657,139.03684
108515,35.101663,139.036785
108520,35.101669,139.03673
108525,35.101675,139.036678
108530,35.101681,139.036625
108535,35.101687,139.036573
108540,35.101693,139.03652
108545,35.101699,139.036465
108550,35.101705,139.03641
108555,35.101711,139.036355
108560,35.101717,139.0363
108565,35.101723,139.036245
108570,35.101729,139.03619
108575,35.101735,139.036135
108580,35.101741,139.03608
108585,35.101747,139.036025
108590,35.101753,139.03597
108595,35.101759,139.035915
108600,35.101765,139.03586
108605,35.101771,139.035805
108610,35.101777,139.03575
108615,35.101783,139.035695
108620,35.101789,139.03564
108625,35.101795,139.035588
108630,35.101801,139.035535
108635,35.101807,139.035483
108640,35.101813,139.03543
108645,35.101819,139.035375
108650,35.101825,139.03532
108655,35.101831,139.035265
108660,35.101837,139.03521
108665,35.101843,139.035155
108670,35.101849,139.0351
108675,35.101855,139.035045
108680,35.101861,139.03499
108685,35.101867,139.034935
108690,35.101873,139.03488
108695,35.101879,139.034825
108700,35.101885,139.03477
108705,35.101891,139.034715
108710,35.101897,139.03466
108715,35.101903,139.034605
108720,35.101909,139.03455
108725,35.101915,139.034498
108730,35.101921,139.034445
108735,35.101927,139.034393
108740,35.101933,139.03434
108745,35.101939,139.034285
108750,35.101945,139.03423
108755,35.101951,139.034175
108760,35.101957,139.03412
108765,35.101963,139.034065
108770,35.101969,139.03401
108775,35.101975,139.033955
108780,35.101981,139.0339
108785,35.101987,139.033845
108790,35.101993,139.03379
108795,35.101999,139.033735
108800,35.102005,139.03368
108805,35.102011,139.033628
108810,35.102017,139.033575
108815,35.102023,139.033523
108820,35.102029,139.03347
108825,35.102035,139.033415
108830,35.102041,139.03336
108835,35.102047,139.033305
108840,35.102053,139.03325
108845,35.102059,139.033195
108850,35.102065,139.03314
108855,35.102071,139.033085
108860,35.102077,139.03303
108865,35.102083,139.032975
108870,35.102089,139.03292
108875,35.102095,139.032865
108880,35.102101,139.03281
108885,35.102107,139.032755
108890,35.102113,139.0327
108895,35.102119,139.032645
108900,35.102125,139.03259
108905,35.102131,139.032538
108910,35.102137,139.032485
108915,35.102143,139.032433
108920,35.102149,139.03238
108925,35.102155,139.032325
108930,35.102161,139.03227
108935,35.102167,139.032215
108940,35.102173,139.03216
108945,35.102179,139.032105
108950,35.102185,139.03205
108955,35.102191,139.031995
108960,35.102197,139.03194
108965,35.102203,139.031885
108970,35.102209,139.03183
108975,35.102215,139.031775
108980,35.102221,139.03172
108985,35.102227,139.031668
108990,35.102233,139.031615
108995,35.102239,139.031563
109000,35.102245,139.03151
109005,35.102251,139.031455
109010,35.102257,139.0314
109015,35.102263,139.031345
109020,35.102269,139.03129
109025,35.102275,139.031235
109030,35.102281,139.03118
109035,35.102287,139.031125
109040,35.102293,139.03107
109045,35.102299,139.031015
109050,35.102305,139.03096
109055,35.102311,139.030905
109060,35.102317,139.03085
